"imdb_id","name","birthday (YYYY-MM-DD)"
"nm0001850","Billy Dee Williams","1937-04-06"
"nm0000355","Anthony Daniels","1946-02-21"
"nm0001190","David Prowse","1935-07-01"
"nm0048652","Kenny Baker","1934-08-24"
"nm0562679","Peter Mayhew","1944-05-19"
"nm0000553","Liam Neeson","1952-06-07"
"nm0005157","Jake Lloyd","1989-03-05"
"nm0629667","Nichelle Nichols","1932-12-28"
"nm0001772","Patrick Stewart","1940-07-13"
"nm0000408","Jonathan Frakes","1952-08-19"
"nm0000653","Brent Spiner","1949-02-02"
"nm0000373","Michael Dorn","1952-12-01"
"nm0000533","Gates McFadden","1949-03-02"
"nm0000158","Tom Hanks","1956-07-09"
"nm0000741","Tim Allen","1953-06-13"
"nm0725543","Don Rickles","1926-05-08"
"nm0001815","Jim Varney","1949-06-15"
"nm0001728","Wallace Shawn","1943-11-12"
"nm0001652","John Ratzenberger","1947-04-06"
"nm0001633","Annie Potts","1949-10-28"
"nm0004929","Dave Foley","1959-01-04"
"nm0000228","Kevin Spacey","1959-07-26"
"nm0000506","Julia Louis-Dreyfus","1961-01-13"
"nm0659363","Hayden Panettiere","1989-08-21"
"nm0001383","David Hyde Pierce","1959-04-03"
"nm0001459","Denis Leary","1957-08-18"
"nm0226887","Phyllis Diller","1917-07-17"
"nm0000349","Joan Cusack","1962-10-11"
"nm0001288","Kelsey Grammer","1955-02-21"
"nm0001431","Wayne Knight","1955-08-07"
"nm0000150","Michael J. Fox","1961-06-09"
"nm0000502","Christopher Lloyd","1938-10-22"
"nm0000670","Lea Thompson","1961-05-31"
"nm0000417","Crispin Glover","1964-04-20"
"nm0001855","Thomas F. Wilson","1959-04-15"
"nm0920148","Claudia Wells","1966-07-05"
"nm0566013","Marc McClure","1957-03-31"
"nm0818274","Wendie Jo Sperber","1958-09-15"
"nm0225191","George DiCenzo","1940-04-21"
"nm0000223","Elisabeth Shue","1963-10-06"
"nm0866055","James Tolkan","1931-06-20"
"nm0005460","Mary Steenburgen","1953-02-08"
"nm0000638","William Shatner","1931-03-22"
"nm0000559","Leonard Nimoy","1931-03-26"
"nm0001420","DeForest Kelley","1920-01-20"
"nm0001150","James Doohan","1920-03-03"
"nm0001786","George Takei","1937-04-20"
"nm0000479","Walter Koenig","1936-09-14"
"nm0000191","Ewan McGregor","1971-03-31"
"nm0000204","Natalie Portman","1981-06-09"
"nm0159789","Hayden Christensen","1981-04-19"
"nm0000489","Christopher Lee","1922-05-27"
"nm0000168","Samuel L. Jackson","1948-12-21"
"nm0001519","Ian McDiarmid","1944-08-11"
"nm0000148","Harrison Ford","1942-07-13"
"nm0000434","Mark Hamill","1951-09-25"
"nm0000402","Carrie Fisher","1956-10-21"
"nm3485845","Adam Driver","1983-11-19"
"nm5397459","Daisy Ridley","1992-04-10"
"nm3915784","John Boyega","1992-03-17"
"nm0428065","Felicity Jones","1983-10-17"
"nm0526019","Diego Luna","1979-12-29"
"nm0876138","Alan Tudyk","1971-03-16"
"nm0947447","Donnie Yen","1963-07-27"
"nm2403277","Alden Ehrenreich","1989-11-22"
"nm0000437","Woody Harrelson","1961-07-23"
"nm3592338","Emilia Clarke","1986-10-23"
"nm2255973","Donald Glover","1983-09-25"
"nm0000206","Keanu Reeves","1964-09-02"
"nm0000401","Laurence Fishburne","1961-07-30"
"nm0005251","Carrie-Anne Moss","1967-08-21"
"nm0915989","Hugo Weaving","1960-04-04"
"nm0001592","Joe Pantoliano","1951-09-12"
"nm0000586","Jada Pinkett Smith","1971-09-18"
"nm5584344","Yahya Abdul-Mateen II","1986-07-15"
"nm3725055","Jessica Henwick","1992-08-30"
"nm0000261","Karen Allen","1951-10-05"
"nm0293550","Paul Freeman","1943-01-18"
"nm0722636","John Rhys-Davies","1944-05-05"
"nm0001009","Kate Capshaw","1953-11-03"
"nm0702841","Ke Huy Quan","1971-08-20"
"nm0000125","Sean Connery","1930-08-25"
"nm0001186","Denholm Elliott","1922-05-31"
"nm0233145","Alison Doody","1966-11-11"
"nm0000949","Cate Blanchett","1969-05-14"
"nm3564817","Phoebe Waller-Bridge","1985-07-14"
"nm0586568","Mads Mikkelsen","1965-11-22"
"nm0000216","Arnold Schwarzenegger","1947-07-30"
"nm0000299","Michael Biehn","1956-07-31"
"nm0000157","Linda Hamilton","1956-09-26"
"nm0934902","Paul Winfield","1939-05-22"
"nm0000411","Edward Furlong","1977-08-02"
"nm0001598","Robert Patrick","1958-11-05"
"nm0001763","Nick Stahl","1979-12-05"
"nm0000132","Claire Danes","1979-04-12"
"nm0518085","Kristanna Loken","1979-10-08"
"nm0000288","Christian Bale","1974-01-30"
"nm0941777","Sam Worthington","1976-08-02"
"nm1291227","Moon Bloodgood","1975-09-20"
"nm0164809","Jason Clarke","1969-07-17"
"nm4496875","Mackenzie Davis","1987-04-01"
"nm0721376","Natalia Reyes","1987-02-06"
"nm0000004","John Belushi","1949-01-24"
"nm0000101","Dan Aykroyd","1952-07-01"
"nm0001006","John Candy","1950-10-31"
"nm0000195","Bill Murray","1950-09-21"
"nm0000244","Sigourney Weaver","1949-10-08"
"nm0000601","Harold Ramis","1944-11-21"
"nm0001548","Rick Moranis","1953-04-18"
"nm0001368","Ernie Hudson","1945-12-17"
"nm0000469","James Earl Jones","1931-01-17"
"nm1517976","Chris Pine","1980-08-26"
"nm0704270","Zachary Quinto","1977-06-02"
